Strain,Phage,day,temperature,ph,inoculum,milk_batch,(milk_batch-21),milk_age ,milk_apc,cheese_make,cheese_plate,rep,count,experiment
10403S,N,1,6,6.5,2.22E+05,7/3/17,6/12/17,7,20.4,6/19/17,a,1,296000,1.1
5621,N,1,6,6.5,1.42E+05,7/3/17,6/12/17,7,20.4,6/19/17,a,1,184000,1.1
5623,N,1,6,6.5,1.92E+05,7/3/17,6/12/17,7,20.4,6/19/17,a,1,255500,1.1
5624,N,1,6,6.5,1.92E+05,7/3/17,6/12/17,7,20.4,6/19/17,a,1,429000,1.1
5625,N,1,6,6.5,1.38E+05,7/3/17,6/12/17,7,20.4,6/19/17,a,1,602500,1.1
10403S,Y,1,6,6.5,2.12E+05,7/3/17,6/12/17,7,20.4,6/19/17,b,1,68350,1.1
5621,Y,1,6,6.5,1.43E+05,7/3/17,6/12/17,7,20.4,6/19/17,b,1,11850,1.1
5623,Y,1,6,6.5,1.82E+05,7/3/17,6/12/17,7,20.4,6/19/17,b,1,80750,1.1
5624,Y,1,6,6.5,1.94E+05,7/3/17,6/12/17,7,20.4,6/19/17,b,1,34600,1.1
5625,Y,1,6,6.5,1.38E+05,7/3/17,6/12/17,7,20.4,6/19/17,b,1,100950,1.1
10403S,N,7,6,6.5,2.10E+05,7/3/17,6/12/17,7,20.4,6/19/17,c,1,61200000,1.1
5621,N,7,6,6.5,1.46E+05,7/3/17,6/12/17,7,20.4,6/19/17,c,1,49050000,1.1
5623,N,7,6,6.5,1.90E+05,7/3/17,6/12/17,7,20.4,6/19/17,c,1,225000000,1.1
5624,N,7,6,6.5,1.96E+05,7/3/17,6/12/17,7,20.4,6/19/17,c,1,206000000,1.1
5625,N,7,6,6.5,1.59E+05,7/3/17,6/12/17,7,20.4,6/19/17,c,1,105000000,1.1
10403S,Y,7,6,6.5,2.25E+05,7/3/17,6/12/17,7,20.4,6/19/17,d,1,1515000,1.1
5621,Y,7,6,6.5,1.54E+05,7/3/17,6/12/17,7,20.4,6/19/17,d,1,1090000,1.1
5623,Y,7,6,6.5,1.92E+05,7/3/17,6/12/17,7,20.4,6/19/17,d,1,49850000,1.1
5624,Y,7,6,6.5,2.13E+05,7/3/17,6/12/17,7,20.4,6/19/17,d,1,632000,1.1
5625,Y,7,6,6.5,1.48E+05,7/3/17,6/12/17,7,20.4,6/19/17,d,1,104500000,1.1
10403S,N,14,6,6.5,2.57E+05,7/3/17,6/12/17,7,20.4,6/19/17,e,1,131000000,1.1
5621,N,14,6,6.5,1.79E+05,7/3/17,6/12/17,7,20.4,6/19/17,e,1,185000000,1.1
5623,N,14,6,6.5,1.96E+05,7/3/17,6/12/17,7,20.4,6/19/17,e,1,,1.1
5624,N,14,6,6.5,2.37E+05,7/3/17,6/12/17,7,20.4,6/19/17,e,1,27000000,1.1
